feature,mean_importance
V7,-0.000560944219051808
V19,-0.0002351757868585963
V26,-0.00019952213422072678
V9,-0.00010896931410213778
V2,-5.441565635362494e-05
V28,-1.0315486095860416e-05
V27,1.6803097652409726e-06
V18,1.637979738227796e-05
V25,1.7298083147085364e-05
V15,1.9952177987543616e-05
V24,0.0002842983138067523
V17,0.0003089630866232818
Time,0.0003277486734263188
V11,0.0004253066861263907
V1,0.0005514571658131739
V6,0.0006113806667443391
V13,0.0007900098519183135
V3,0.0015006639459967746
V16,0.0015320239417563775
V23,0.0016220546385078845
V5,0.001668625822912309
Amount,0.002355616582874219
V22,0.002805691959848103
V20,0.0031394242319556327
V21,0.0031565346307678628
V8,0.010742018321552412
V10,0.02309397324291438
V12,0.025290175817645026
V4,0.04036800447781939
V14,0.04709526263617395
