feature,mean_importance
V24,6.938893903907228e-18
Time,9.491681366172178e-07
V26,4.193463551262211e-06
V13,9.863393899757489e-06
V28,1.0860442614166189e-05
V15,2.2885672169487004e-05
V6,2.323660599689997e-05
V5,3.418708992962843e-05
V25,4.0397953776130645e-05
V2,4.6561870808378704e-05
V18,5.2155663939573714e-05
V22,5.535150885329354e-05
V21,6.239656253202441e-05
V19,7.470022523834024e-05
V8,0.00014325639390461026
V27,0.00017540770185050513
V1,0.0001893419590825049
V23,0.00035365236464384163
V9,0.0005536098728720796
V20,0.000653617741649426
Amount,0.0009315936420679433
V11,0.0015206116103896993
V3,0.001523457490183114
V7,0.0018722872145335051
V16,0.0023305184847708755
V4,0.014907106528747788
V12,0.01935006752098168
V10,0.023047125647158488
V14,0.04879925950500431
V17,0.06635727603920033
