feature,shap_importance
V14,0.04262188639868483
V17,0.02161129102947499
V10,0.01739847874433555
V12,0.009158409431323155
V4,0.007286288100612755
V7,0.0013295407001787964
V11,0.0011354234072763012
V3,0.0009762482859940265
V16,0.0009349199201932092
V19,0.0009000967189730456
Amount,0.0008076663638477303
V8,0.0002860663065616376
V26,0.00028569246377922416
V20,0.0002737003459688101
V15,0.00022691980642531255
V9,0.00022672587609510016
V23,0.00018343663990974388
V6,0.00016364622267719882
V13,0.00015466838597859116
V27,0.00013662735633489183
V1,0.0001189413027407554
Time,0.0001001941327810745
V18,8.850411059474775e-05
V21,7.34727545860418e-05
V5,7.171003642774452e-05
V2,7.000774460746357e-05
V22,5.315856957459968e-05
V25,5.1811798924490606e-05
V28,3.338078120762743e-05
V24,0.0
