feature,mean_importance
V5,-0.0003050845971000818
V25,-0.00026949273037748525
V24,-0.00017303502469562525
V16,-0.00011133582672343684
V19,-9.985601804698707e-05
V23,-8.537636109410274e-05
Time,-7.941124635587743e-05
V3,-1.0462154338937436e-05
V9,0.00010929255630946488
V6,0.00011040818296001176
V28,0.0001699997366739689
V27,0.00022088658327890225
Amount,0.00024613359882369733
V15,0.0002727538075256317
V18,0.0003794621095435241
V8,0.0003814433311876489
V2,0.000382697316919875
V22,0.0004857337517858759
V7,0.0005160585280385502
V1,0.0006013425542921794
V20,0.000617693932227259
V11,0.0006587564174381208
V13,0.0009726152718027403
V26,0.0010664595108657291
V21,0.0016966890414169377
V12,0.003048753237475589
V10,0.004922417195979259
V4,0.013413120632918102
V17,0.022473366408510897
V14,0.034164666555321174
