feature,shap_importance
V14,0.9613699913024902
V4,0.910769522190094
V12,0.3443553149700165
V10,0.33275336027145386
Amount,0.2864852845668793
V19,0.2215040922164917
V8,0.21018704771995544
V7,0.20874947309494019
V26,0.2062695324420929
V17,0.19860926270484924
V11,0.1919669359922409
V16,0.11147569119930267
V5,0.10615359246730804
V25,0.0966615229845047
V18,0.0836641937494278
V27,0.08220361173152924
V13,0.08044692873954773
V22,0.07866378128528595
V28,0.07751687616109848
V1,0.0746999979019165
V23,0.07280676811933517
Time,0.06313466280698776
V20,0.06298932433128357
V21,0.06222114711999893
V3,0.05695628374814987
V15,0.05400489270687103
V9,0.05061132460832596
V24,0.045887213200330734
V2,0.03720596060156822
V6,0.036428432911634445
