feature,mean_importance
V21,-0.003519950628285133
V18,-0.0025485434273711206
V17,-0.001994696047501544
V23,-0.0012250018658291311
V16,-0.0010684152074358715
V11,-0.0006994321719899943
V19,-0.0006399272983411142
V5,-0.00038218918192762933
V25,-0.00013660912360015793
V28,-0.0001077658688340019
Time,5.741074457555756e-05
V27,0.00019658826320736872
V2,0.0003747886498926545
V15,0.00037926393749071615
V1,0.00043102923464696937
V26,0.0005062441475631452
V24,0.0005798030996632855
V13,0.0012312681493214573
V9,0.0017776266162226953
V20,0.002247107443324173
V7,0.0022750006114105716
V22,0.0027319181214878864
V6,0.003392066656827071
V3,0.003574758208083112
V8,0.007257259452736728
Amount,0.00790316203805851
V10,0.026190144862753662
V4,0.02919471832809149
V12,0.02926969515969786
V14,0.05782982463282428
