feature,shap_importance
marital_status_Married-civ-spouse,0.17319605158365742
education_num,0.07995342258036554
capital_gain,0.052723623886934495
fnlwgt,0.00031424824137637884
marital_status_Married-spouse-absent,0.0
marital_status_Never-married,0.0
marital_status_Separated,0.0
marital_status_Widowed,0.0
occupation_,0.0
occupation_Priv-house-serv,0.0
occupation_Armed-Forces,0.0
occupation_Craft-repair,0.0
occupation_Exec-managerial,0.0
occupation_Farming-fishing,0.0
occupation_Handlers-cleaners,0.0
occupation_Machine-op-inspct,0.0
occupation_Other-service,0.0
occupation_Adm-clerical,0.0
age,0.0
occupation_Prof-specialty,0.0
occupation_Sales,0.0
occupation_Tech-support,0.0
occupation_Transport-moving,0.0
relationship_Husband,0.0
relationship_Not-in-family,0.0
relationship_Other-relative,0.0
relationship_Own-child,0.0
relationship_Unmarried,0.0
relationship_Wife,0.0
race_Amer-Indian-Eskimo,0.0
race_Asian-Pac-Islander,0.0
race_Black,0.0
race_Other,0.0
occupation_Protective-serv,0.0
marital_status_Divorced,0.0
marital_status_Married-AF-spouse,0.0
education_10th,0.0
sex,0.0
capital_loss,0.0
hours_per_week,0.0
native_country,0.0
workclass_,0.0
workclass_Federal-gov,0.0
workclass_Local-gov,0.0
workclass_Never-worked,0.0
workclass_Private,0.0
workclass_Self-emp-inc,0.0
workclass_Self-emp-not-inc,0.0
workclass_State-gov,0.0
workclass_Without-pay,0.0
education_11th,0.0
education_Some-college,0.0
education_12th,0.0
education_1st-4th,0.0
education_5th-6th,0.0
education_7th-8th,0.0
education_9th,0.0
education_Assoc-acdm,0.0
education_Assoc-voc,0.0
education_Bachelors,0.0
education_Doctorate,0.0
education_HS-grad,0.0
education_Masters,0.0
education_Preschool,0.0
education_Prof-school,0.0
race_White,0.0
