feature,mean_importance
education_10th,-0.00019826141298269208
education_9th,-3.473446101293076e-05
education_12th,-3.040645670324693e-05
education_Some-college,-1.5560573427630954e-05
education_Masters,-2.95055872981953e-06
occupation_Armed-Forces,-1.6443419830203254e-06
workclass_Never-worked,5.780372635877385e-07
race_Other,1.013449016190604e-05
workclass_Local-gov,1.3653395445156758e-05
education_HS-grad,1.4513337645527536e-05
education_Assoc-voc,1.7370541998029677e-05
occupation_Transport-moving,1.7554579689915693e-05
relationship_Unmarried,2.0166052916326116e-05
education_5th-6th,2.18759065999663e-05
race_Black,2.395350787065542e-05
education_7th-8th,3.0360395099437997e-05
race_Amer-Indian-Eskimo,3.519518273891187e-05
education_Doctorate,4.0900046415159874e-05
education_Bachelors,4.6184123739856364e-05
workclass_Without-pay,4.6905595328583515e-05
education_11th,4.7139094280657104e-05
race_Asian-Pac-Islander,6.646630222132411e-05
education_Prof-school,9.25358503081064e-05
relationship_Husband,9.754206531695787e-05
workclass_State-gov,0.00010461323335545503
education_1st-4th,0.00013176120219589028
occupation_Machine-op-inspct,0.00014018855134572127
education_Preschool,0.00016707113955435337
workclass_Self-emp-inc,0.00018503704653932695
occupation_Adm-clerical,0.00023232897323288704
marital_status_Married-spouse-absent,0.0002495875909524159
education_Assoc-acdm,0.0003212450906199593
native_country,0.000324826524830979
workclass_,0.00039489312547349444
occupation_,0.0004393966515338632
occupation_Priv-house-serv,0.00048641470433872234
workclass_Self-emp-not-inc,0.0005338778287692248
marital_status_Married-AF-spouse,0.0005507165107976108
fnlwgt,0.0005553271087874401
marital_status_Separated,0.0005813973976013908
marital_status_Widowed,0.0006718737375233763
occupation_Handlers-cleaners,0.0007607895828751432
occupation_Protective-serv,0.0009223960416609555
occupation_Craft-repair,0.000983695898581638
relationship_Other-relative,0.0010786568841764433
workclass_Private,0.0012325659825915714
race_White,0.001458805556946885
workclass_Federal-gov,0.0016173697832488343
relationship_Not-in-family,0.0017048246476485285
occupation_Sales,0.0018281377325265358
marital_status_Divorced,0.002263011812894644
occupation_Tech-support,0.002593610757129228
occupation_Farming-fishing,0.0027876169668733077
occupation_Other-service,0.003636970910474935
occupation_Prof-specialty,0.0060717963885650985
relationship_Own-child,0.006514900519865574
capital_loss,0.006836657444900784
age,0.00834916087272164
hours_per_week,0.010718366005663393
relationship_Wife,0.011105162698343852
occupation_Exec-managerial,0.011713799761437105
sex,0.013663309046762861
marital_status_Never-married,0.016057743298170224
education_num,0.056115149756129044
marital_status_Married-civ-spouse,0.06316024553315032
capital_gain,0.12431184755186905
