feature,shap_importance
marital_status_Married-civ-spouse,0.7661034859199264
capital_gain,0.7052624036355498
education_num,0.5152270556612425
marital_status_Never-married,0.41700873471935856
sex,0.3678945825564893
age,0.2975058709163461
relationship_Own-child,0.2283638337286419
hours_per_week,0.20300326684823697
occupation_Exec-managerial,0.18237683869426707
occupation_Prof-specialty,0.14711533838582522
relationship_Wife,0.12668940246428018
occupation_Other-service,0.12106003939166178
relationship_Not-in-family,0.1124827063100058
capital_loss,0.1088251183027994
marital_status_Divorced,0.10442984675806156
race_White,0.08350799711374114
workclass_Private,0.08329138189458679
occupation_Sales,0.0817080161542069
occupation_Handlers-cleaners,0.05655991800733419
workclass_Self-emp-not-inc,0.05124455119377127
occupation_Farming-fishing,0.04692368466280108
occupation_Craft-repair,0.046899898055992095
occupation_Tech-support,0.043218647012742854
occupation_Adm-clerical,0.04272490584455235
workclass_Federal-gov,0.0405129042600234
relationship_Other-relative,0.040194256548637404
fnlwgt,0.03461881982359334
race_Black,0.030723040849960092
marital_status_Separated,0.030342156951563073
occupation_,0.028937658793026275
education_HS-grad,0.028810479128213252
occupation_Protective-serv,0.02872541691629894
marital_status_Widowed,0.027688824110847953
workclass_,0.0276464906258409
workclass_Self-emp-inc,0.025508846946697417
relationship_Husband,0.024747696232284285
education_Assoc-acdm,0.024473084779224687
native_country,0.023710357764958938
education_11th,0.017991020716397004
relationship_Unmarried,0.014789619494151357
occupation_Machine-op-inspct,0.012996667815668583
marital_status_Married-spouse-absent,0.01195192571393082
race_Other,0.011123299242434785
education_10th,0.011086100112040725
race_Asian-Pac-Islander,0.010908170443251314
occupation_Priv-house-serv,0.010256755911656425
education_Bachelors,0.008294174921301018
education_Prof-school,0.00803350160666733
occupation_Transport-moving,0.007143989655278153
workclass_State-gov,0.007108317130388346
education_5th-6th,0.0065898960003409595
education_9th,0.0064290632875855045
education_Some-college,0.006157861434375116
education_7th-8th,0.0059607873286784165
education_1st-4th,0.005913766406750037
education_Assoc-voc,0.004841317614852578
race_Amer-Indian-Eskimo,0.0037566242345244785
education_Preschool,0.0028879778161892584
education_12th,0.0026628196696884066
education_Masters,0.00262135199714868
workclass_Local-gov,0.002405721348371235
education_Doctorate,0.0022096181156705114
marital_status_Married-AF-spouse,0.0009145247695881548
workclass_Without-pay,0.0008632048804206031
occupation_Armed-Forces,0.00010143557832971456
workclass_Never-worked,2.086476367410205e-06
