feature,mean_importance
education_10th,-5.895690933807041e-05
occupation_Craft-repair,-4.391505946272911e-05
education_Prof-school,-2.7197193605232873e-05
race_Asian-Pac-Islander,-2.417750432200938e-05
fnlwgt,-8.451759874628095e-06
relationship_Not-in-family,-6.418289089415996e-06
race_Black,-4.803384467688687e-06
marital_status_Separated,-8.11692812952014e-07
education_7th-8th,-9.398086098233448e-09
education_1st-4th,-1.1102230246251566e-17
occupation_Armed-Forces,-1.1102230246251566e-17
marital_status_Married-spouse-absent,-1.1102230246251566e-17
race_Other,-1.1102230246251566e-17
education_Assoc-acdm,-1.1102230246251566e-17
occupation_Handlers-cleaners,0.0
workclass_Without-pay,0.0
occupation_Priv-house-serv,0.0
education_12th,0.0
education_5th-6th,0.0
workclass_Never-worked,0.0
workclass_State-gov,5.13905104704282e-07
race_Amer-Indian-Eskimo,2.770813536578931e-06
education_11th,4.598062591631979e-06
workclass_Federal-gov,4.753421208403275e-06
occupation_Protective-serv,4.817024888625898e-06
marital_status_Widowed,5.005583166250993e-06
workclass_Local-gov,6.717538975331561e-06
occupation_Machine-op-inspct,7.521451058700723e-06
education_Assoc-voc,7.796117685443526e-06
workclass_Private,7.832175891042681e-06
education_Preschool,9.543081813889742e-06
relationship_Unmarried,9.574465920236808e-06
race_White,1.1973197932657608e-05
occupation_Sales,1.2132442373180562e-05
education_9th,1.7913456825657813e-05
workclass_Self-emp-inc,2.680783107270601e-05
relationship_Other-relative,2.689851082614547e-05
marital_status_Married-AF-spouse,3.6045528713424256e-05
native_country,3.710485246875006e-05
occupation_Tech-support,3.765108369572223e-05
occupation_,3.85410413348275e-05
workclass_,6.058794953464064e-05
occupation_Adm-clerical,6.152047034994058e-05
education_HS-grad,6.356050087603648e-05
occupation_Transport-moving,6.611629505880457e-05
education_Doctorate,8.807019895619161e-05
occupation_Farming-fishing,0.0001272636199338706
marital_status_Divorced,0.00015873074950815136
education_Masters,0.00016876737217201842
relationship_Own-child,0.00017094585621134638
occupation_Other-service,0.00021679850604818806
marital_status_Never-married,0.00022658989450999867
education_Some-college,0.00023809497707643067
workclass_Self-emp-not-inc,0.0002472400006024222
sex,0.0002985030278112366
education_Bachelors,0.0008141672539606293
occupation_Prof-specialty,0.0009111572377930477
occupation_Exec-managerial,0.002309443923860721
relationship_Wife,0.0030772507785312487
relationship_Husband,0.010202608431226012
hours_per_week,0.010275535584608708
capital_loss,0.013338253703082092
age,0.017005670400220253
education_num,0.05542154447568084
marital_status_Married-civ-spouse,0.09261357992207156
capital_gain,0.12388646442839465
