feature,shap_importance
marital_status_Married-civ-spouse,0.1259230521289042
education_num,0.07161200694117908
capital_gain,0.05157895393301297
relationship_Husband,0.032159080565009775
age,0.027609478118746263
hours_per_week,0.014151241942164331
capital_loss,0.01267813983925993
education_Bachelors,0.007159072912341186
relationship_Wife,0.006213310726497704
occupation_Exec-managerial,0.005274610011999853
marital_status_Never-married,0.002767880798285361
occupation_Prof-specialty,0.002036366121644443
education_Masters,0.0008058569077071405
education_Some-college,0.0006314347733335974
workclass_Self-emp-not-inc,0.0006214047278723728
sex,0.0004567957468692091
marital_status_Divorced,0.0003729628435554179
occupation_Other-service,0.00035760185709136493
relationship_Own-child,0.0003272329277272863
fnlwgt,0.00032521016660645307
education_Doctorate,0.00028134084808572143
relationship_Not-in-family,0.000226576330765404
education_HS-grad,0.00020624033897845043
occupation_Farming-fishing,0.00019203887986765655
occupation_Adm-clerical,0.00017725785292276123
native_country,0.00013122783999170023
workclass_,0.00012780181026696415
education_10th,0.00012611637674492747
relationship_Unmarried,0.00011499281256799366
education_Prof-school,0.00010733929864566389
workclass_Self-emp-inc,9.021911292152288e-05
occupation_Tech-support,8.913576085194317e-05
occupation_,8.543835338900017e-05
occupation_Craft-repair,7.611511913567409e-05
workclass_Federal-gov,7.311482150294246e-05
race_White,7.283365490153818e-05
workclass_Local-gov,6.942572471912052e-05
occupation_Transport-moving,6.407187437251325e-05
education_7th-8th,4.7219035759335444e-05
occupation_Protective-serv,4.5270447671735746e-05
occupation_Machine-op-inspct,4.5074930434864425e-05
relationship_Other-relative,3.321539182956791e-05
workclass_Private,3.1863201745622706e-05
workclass_State-gov,2.829108048780354e-05
race_Black,2.4853783218343534e-05
education_Assoc-voc,2.4308645523619315e-05
race_Asian-Pac-Islander,2.27172203643248e-05
education_Preschool,1.8753604052097565e-05
occupation_Sales,1.368578978177093e-05
marital_status_Widowed,8.460905969565697e-06
education_9th,7.769129998863758e-06
education_11th,6.823536352091096e-06
marital_status_Married-AF-spouse,6.507300187689718e-06
marital_status_Separated,4.491498917284716e-06
race_Amer-Indian-Eskimo,3.1814431554460485e-06
marital_status_Married-spouse-absent,0.0
occupation_Armed-Forces,0.0
workclass_Never-worked,0.0
education_5th-6th,0.0
occupation_Priv-house-serv,0.0
education_1st-4th,0.0
occupation_Handlers-cleaners,0.0
education_12th,0.0
education_Assoc-acdm,0.0
race_Other,0.0
workclass_Without-pay,0.0
