feature,mean_importance
education_10th,-0.0001533502061230596
education_Assoc-acdm,-6.14290630091996e-05
marital_status_Divorced,-5.788736468549382e-05
occupation_Adm-clerical,-4.989034128762837e-05
education_Bachelors,-4.174651460238099e-05
race_Asian-Pac-Islander,-2.7074508663693653e-05
education_7th-8th,-1.2659407447412896e-05
relationship_Husband,-8.827368238428779e-06
workclass_Without-pay,0.0
workclass_Never-worked,0.0
education_12th,0.0
education_Doctorate,0.0
education_Preschool,0.0
occupation_Armed-Forces,0.0
marital_status_Married-spouse-absent,0.0
education_5th-6th,0.0
education_1st-4th,0.0
education_9th,1.740462624766348e-06
education_HS-grad,2.4219576515771556e-06
occupation_Craft-repair,3.906935100073116e-06
education_11th,7.529865292388305e-06
marital_status_Separated,1.1964709241851778e-05
workclass_,1.8395162782014474e-05
race_Black,2.304378491204684e-05
education_Assoc-voc,3.192844787823779e-05
education_Masters,4.4419133999706875e-05
race_Amer-Indian-Eskimo,5.2340182299948077e-05
education_Prof-school,7.720715840442427e-05
workclass_Self-emp-inc,9.342191910253206e-05
occupation_Transport-moving,0.0001120308070111764
race_Other,0.00013633492876862218
workclass_Private,0.00020862625875257558
workclass_State-gov,0.00021740998547405965
native_country,0.00025880552223379595
marital_status_Widowed,0.00027239804942993386
occupation_Priv-house-serv,0.00034813214633244716
race_White,0.00037037063031338804
relationship_Not-in-family,0.00040703536967415797
relationship_Unmarried,0.00044543156788723337
education_Some-college,0.0004892927739043485
occupation_,0.0006281325624940326
workclass_Local-gov,0.0006807892293337336
occupation_Protective-serv,0.0007478758219835013
workclass_Federal-gov,0.0007839752063627525
occupation_Machine-op-inspct,0.0008112012325155349
occupation_Handlers-cleaners,0.0008491211770670804
marital_status_Never-married,0.0009742670479648497
occupation_Sales,0.001027285919492027
marital_status_Married-AF-spouse,0.0010334028973639775
occupation_Tech-support,0.001200525269909114
relationship_Other-relative,0.0012453777292417256
workclass_Self-emp-not-inc,0.0017008808124340912
fnlwgt,0.001978783696371633
relationship_Own-child,0.0023675158265712205
occupation_Farming-fishing,0.002613186279096391
sex,0.0034934504148100066
occupation_Prof-specialty,0.0035267025680933094
relationship_Wife,0.0035545107743312765
occupation_Other-service,0.005057197960736415
occupation_Exec-managerial,0.006502534124114323
hours_per_week,0.0200469904887293
capital_loss,0.031739359316770265
education_num,0.044369684308333254
age,0.06461818096509435
marital_status_Married-civ-spouse,0.12497766270222596
capital_gain,0.16841299302592935
