feature,mean_importance
education_Assoc-voc,-0.0002924098791180385
race_Asian-Pac-Islander,-7.965394718296714e-05
workclass_Private,-6.936927898201217e-05
race_White,-6.237467300302945e-05
education_5th-6th,-5.665514746494571e-05
education_11th,-2.9162160232509837e-05
education_12th,-2.8500754583637987e-05
race_Other,-1.0269245707572594e-05
occupation_Armed-Forces,-5.513350913699533e-07
workclass_Without-pay,4.510072902119689e-06
relationship_Unmarried,2.7805185864959724e-05
workclass_Never-worked,4.3067096924265244e-05
education_Preschool,4.344940204270564e-05
education_1st-4th,4.975851136039822e-05
occupation_Priv-house-serv,5.700273817368373e-05
workclass_Federal-gov,7.759516668931488e-05
education_10th,8.871198562702132e-05
workclass_Self-emp-inc,9.075556167913446e-05
workclass_,9.753606650455548e-05
native_country,0.00011678448547191023
education_7th-8th,0.00011680515869714193
race_Black,0.00011747325004104469
race_Amer-Indian-Eskimo,0.00012283006495988902
education_Doctorate,0.00013261348284044906
education_9th,0.0001408160965172267
marital_status_Widowed,0.00020244493783778684
occupation_Transport-moving,0.00024519811366227053
education_HS-grad,0.0002711523227289847
education_Masters,0.0003289613149694115
marital_status_Married-AF-spouse,0.00033432859162685347
marital_status_Married-spouse-absent,0.0003430805674080828
education_Assoc-acdm,0.000364142711067883
occupation_Protective-serv,0.0003659581990254956
occupation_Adm-clerical,0.0004711040927218746
relationship_Not-in-family,0.0005017968903131664
occupation_Craft-repair,0.0005767568680029034
education_Bachelors,0.0005863277989230254
education_Prof-school,0.0005976921147953119
marital_status_Separated,0.0007043253809461026
education_Some-college,0.0008577355075597537
occupation_Machine-op-inspct,0.0009581853069869472
occupation_Sales,0.0009662732098398407
relationship_Other-relative,0.0011087195475767975
workclass_State-gov,0.0011217939960502688
occupation_Handlers-cleaners,0.0012093084990660863
workclass_Self-emp-not-inc,0.0012444725004842837
occupation_,0.0012806621772615157
workclass_Local-gov,0.0012820048472022005
fnlwgt,0.0015670111984793622
occupation_Tech-support,0.0018746994515278837
relationship_Husband,0.0027308117134226205
relationship_Own-child,0.0027931752985998594
occupation_Farming-fishing,0.0028578691891025356
marital_status_Divorced,0.004020948371298983
occupation_Prof-specialty,0.004146142454985335
capital_loss,0.005263387331135594
relationship_Wife,0.005942302400902222
occupation_Other-service,0.00649314486391539
occupation_Exec-managerial,0.00662706553835114
sex,0.00811467473826144
marital_status_Never-married,0.010848792777927496
hours_per_week,0.02270959237226212
education_num,0.04137409231519853
age,0.04951395266070373
marital_status_Married-civ-spouse,0.053321882488905535
capital_gain,0.12445770899013682
