feature,mean_importance
age,0.0
marital_single,0.0
education_primary,0.0
education_secondary,0.0
education_tertiary,0.0
month_apr,0.0
month_aug,0.0
month_dec,0.0
marital_divorced,0.0
month_feb,0.0
month_jul,0.0
month_jun,0.0
month_may,0.0
month_nov,0.0
month_oct,0.0
month_sep,0.0
poutcome_failure,0.0
month_jan,0.0
job_technician,0.0
job_unemployed,0.0
job_services,0.0
default_payment,0.0
balance,0.0
housing,0.0
loan,0.0
day,0.0
campaign,0.0
pdays,0.0
job_student,0.0
job_admin.,0.0
previous,0.0
job_entrepreneur,0.0
job_housemaid,0.0
job_management,0.0
job_other,0.0
job_retired,0.0
job_self-employed,0.0
job_blue-collar,0.0
poutcome_unknown,0.0
marital_married,0.0004194631820246819
month_mar,0.010649986956021828
poutcome_success,0.04270465586067734
duration,0.10632687729822239
