feature,shap_importance
duration,0.7597325041551476
month_may,0.39049277044090785
housing,0.37645986182762914
poutcome_unknown,0.201342917050271
campaign,0.20018198162025463
month_jul,0.19154584983208212
month_aug,0.1499961428259203
poutcome_failure,0.14074323353669826
month_jun,0.11108026347450832
loan,0.11105222291165848
month_nov,0.10735860041732914
marital_married,0.0994336877875031
poutcome_success,0.09657411201206272
education_tertiary,0.09201552041498082
balance,0.06147994844309996
month_jan,0.05915372989176123
marital_single,0.056132082720403466
education_primary,0.05172088346128317
job_retired,0.045923724321008164
job_admin.,0.044750103048410914
month_oct,0.03294030420275486
previous,0.030674715173437703
job_management,0.027424173078320267
month_sep,0.02658745489894892
age,0.026020294466505115
pdays,0.02270930120252839
month_mar,0.022051296851587788
job_blue-collar,0.02193605553173621
job_housemaid,0.020544909354905338
job_student,0.018301531720059317
education_secondary,0.013838151257045753
marital_divorced,0.012818568859800617
month_apr,0.01222422585737447
job_technician,0.01158400980015963
job_entrepreneur,0.009171741638183316
job_self-employed,0.008903738346262064
month_feb,0.007790497024237376
day,0.004644703164423183
month_dec,0.004363216241629238
default_payment,0.002856644091470836
job_other,0.002677635950074793
job_unemployed,0.0006999764688616274
job_services,0.00066844640995404
