feature,shap_importance
duration,0.08361233286945847
poutcome_success,0.020539394915388042
housing,0.009516276663338647
poutcome_unknown,0.008633312487816753
pdays,0.007197877533784635
age,0.0069300301417999964
poutcome_failure,0.005422665342960056
month_mar,0.004024253484514776
month_oct,0.0038085380040598876
marital_married,0.0024201921807911583
previous,0.0023009101247760924
month_apr,0.0016773038883700112
balance,0.0015462827518235767
month_sep,0.0014030673278250044
month_may,0.001194874857615603
day,0.0009654750957812908
campaign,0.0006337249619320409
marital_divorced,0.0003698089135014825
marital_single,0.00032057984533722647
month_aug,0.00027382942698366306
job_housemaid,0.00020799089767168012
month_jun,0.00019789931265212066
education_tertiary,0.00018493872797247383
month_dec,0.00016978050506577007
education_primary,0.00013348744969564872
job_student,0.0001279692584426255
loan,0.00012728190950452684
month_jul,0.00012420393618039585
month_feb,0.00010940792747917315
job_blue-collar,0.0001028030210651534
job_management,0.00010188371906044442
job_admin.,8.58412937471016e-05
job_technician,6.903698850684963e-05
job_self-employed,6.750337553047008e-05
month_nov,6.654697456157792e-05
education_secondary,6.11709058437219e-05
month_jan,5.7038497895268314e-05
job_entrepreneur,5.414475849850684e-05
job_services,3.366240172394224e-05
default_payment,2.7337005190997537e-05
job_retired,2.343526822394234e-05
job_unemployed,2.2796454521268486e-05
job_other,0.0
