feature,mean_importance
job_housemaid,-0.0002584512999073751
job_technician,-0.0002479151589908912
job_management,-9.131846708206326e-05
job_entrepreneur,-8.984149210058411e-05
default_payment,-8.16306625268548e-05
job_self-employed,-5.309580046509166e-05
job_services,-4.2931889752967355e-05
job_unemployed,-2.6661480245343538e-05
education_secondary,4.8892722102472644e-05
marital_divorced,5.2352876962491465e-05
poutcome_unknown,5.855024570332601e-05
job_student,9.693253993622863e-05
job_retired,0.00010969798291977639
marital_single,0.00014702415708854334
job_blue-collar,0.00016688221563495586
job_other,0.00025885481531167656
poutcome_failure,0.0003710922565737074
month_jun,0.0005411033443235347
education_primary,0.0006358766335718025
job_admin.,0.0006787584719250117
previous,0.0009029796044759064
month_dec,0.0009559818232524164
month_aug,0.0010435359127337618
marital_married,0.0012968522446337228
education_tertiary,0.0015024645788500879
balance,0.0018105654993253062
loan,0.001836995254307583
month_jan,0.00214624062678192
month_sep,0.00226657664495396
month_jul,0.0031872701243301103
pdays,0.003474174203556585
campaign,0.003981257861776571
age,0.004005327004093395
month_nov,0.004184605717097095
month_oct,0.006204128732059083
month_may,0.0073115077033304885
month_apr,0.00768856196117611
month_mar,0.007990042879534299
month_feb,0.009436641618285519
poutcome_success,0.009475040202601126
housing,0.009553657926881887
day,0.02992447559490997
duration,0.23399978833678867
