feature,mean_importance
balance,-0.0006694188414460955
job_technician,-0.0006542411209411681
marital_divorced,-0.00025683849429514736
job_unemployed,-1.9017024479295318e-05
job_other,7.054524714922295e-06
job_self-employed,1.0006083911306974e-05
job_retired,5.487599867651793e-05
job_housemaid,8.56115727147666e-05
month_sep,0.00011215344872927412
job_entrepreneur,0.00018123820154941628
marital_married,0.0002053979173628262
job_admin.,0.00023168831006086242
job_blue-collar,0.00023322299846444404
month_dec,0.0002710353024932055
job_services,0.0002792529718709857
job_student,0.000431896093015921
marital_single,0.0007824038158991853
education_secondary,0.0008888435859026655
education_primary,0.0012223598034486027
job_management,0.0015389780607305947
month_jan,0.0017583413960725713
default_payment,0.001882077148723238
loan,0.002534128644402256
poutcome_unknown,0.0027849740073124297
education_tertiary,0.0030349726480902173
poutcome_success,0.0030564893424045057
age,0.003757333949399211
month_oct,0.004132275679819169
month_jun,0.0046635004426393845
month_mar,0.0047898859702009185
campaign,0.005349930397350783
month_aug,0.005526071751580897
month_apr,0.005963367734987557
month_feb,0.0062196021897371724
month_nov,0.006256186294268528
poutcome_failure,0.006793577838485443
month_jul,0.008867185710217329
previous,0.009747605437079398
pdays,0.010699141877297008
housing,0.013014086661156643
day,0.017992474918841678
month_may,0.02100626849964679
duration,0.21860596047626007
